date,Open,High,Low,Close,Adj Close,Volume
2011-07-26,218.529999,220.320007,217.619995,218.839996,218.839996,0
2011-07-27,219.320007,220.740005,211.880005,212.350006,212.350006,0
2011-07-28,212.149994,212.160004,207.800003,210.139999,210.139999,0
2011-07-29,209.960007,209.960007,205.490005,205.809998,205.809998,0
2011-08-01,205.889999,210.550003,205.809998,206.990005,206.990005,0
2011-08-02,207.119995,210.809998,207.050003,208.229996,208.229996,0
2011-08-03,208.529999,211.360001,208.529999,209.800003,209.800003,0
2011-08-04,208.940002,209.949997,194.789993,197.119995,197.119995,0
2011-08-05,197.350006,201.860001,190.350006,196.059998,196.059998,0
2011-08-08,194.740005,202.270004,192.490005,192.740005,192.740005,0
2011-08-09,194.199997,201.289993,190.880005,201.220001,201.220001,0
2011-08-10,200.210007,209.559998,197.639999,205.539993,205.539993,0
2011-08-11,206.029999,209.779999,200.529999,208.649994,208.649994,0
